4  3.6961579323E-06 1.64555e-07 2.9583208561E-06  
8  7.1364617348E-06 3.12404e-07 7.6967837811E-06  
12 1.7337424755E-05 4.57385e-07 1.7623068333E-05 
16 3.8057644367E-05 5.41325e-07 4.2678733587E-05 
20 8.7699284554E-05 3.05286e-06 1.0216984701E-04 
24 1.4773087978E-04 3.50215e-06 1.7115774155E-04 
28 2.5458592653E-04 4.08629e-06 2.9063667607E-04 
32 4.0375521421E-04 4.78116e-06 4.6393398213E-04 
36 6.7209649801E-04 0.00011753  7.2304520559E-04 
40 1.0090080810E-03 0.000123027 1.1798474925E-03 
