16 1.2918090820E-06s  2.65581e-08
17 1.7655999660E-06s  3.5825e-08
18 1.8914160728E-06s  3.6362e-08
19 2.3310129642E-06s  3.70177e-08
20 2.3214519024E-06s  3.71208e-08
21 2.8418700695E-06s  3.78996e-08
22 3.0324208736E-06s  3.92924e-08
23 3.6926069260E-06s  4.04781e-08
24 3.6772480011E-06s  3.98875e-08
25 4.4354538918E-06s  4.87283e-08
26 4.6604790688E-06s  5.00946e-08
27 5.5344531536E-06s  5.24711e-08
28 5.4968810081E-06s  5.3579e-08
29 6.5539169312E-06s  5.7863e-08
30 6.8198289871E-06s  6.09968e-08
31 7.9886479378E-06s  6.46781e-08
32 7.8714199066E-06s  6.37396e-08
33 9.2498309612E-06s  1.97179e-07
34 9.5621509552E-06s  1.97117e-07
35 1.1084520817E-05s  1.98797e-07
36 1.0837409973E-05s  1.98613e-07
37 1.2504322052E-05s  1.99584e-07
38 1.2956284046E-05s  2.01056e-07
39 1.4886302948E-05s  2.0453e-07
40 1.4586390972E-05s  2.00961e-07
